Feature,FeatureType,Coefficient,InputColumn,Median,Mean,Scale,CategoryColumn,CategoryValue,KeywordTag,Items,Order,Support,AbsCoefficient
INT__ArmouredDurable__AND__HasFireControl__AND__KW_Frenzy(1),interaction,0.0741427577794342,,,,,,,,ArmouredDurable | HasFireControl | KW_Frenzy(1),3,11,0.0741427577794342
INT__ArmouredDurable__AND__HasFireControl__AND__KW_It Burns!(3),interaction,0.0015825247006046698,,,,,,,,ArmouredDurable | HasFireControl | KW_It Burns!(3),3,3,0.0015825247006046698
INT__ArmouredDurable__AND__HasFireControl__AND__KW_It Burns!(4),interaction,-0.01238694532589814,,,,,,,,ArmouredDurable | HasFireControl | KW_It Burns!(4),3,5,0.01238694532589814
INT__ArmouredDurable__AND__HasFireControl__AND__KW_Knockback,interaction,0.011927954238648956,,,,,,,,ArmouredDurable | HasFireControl | KW_Knockback,3,4,0.011927954238648956
INT__ArmouredDurable__AND__HasFireControl__AND__KW_Smash(1),interaction,0.01123369913567471,,,,,,,,ArmouredDurable | HasFireControl | KW_Smash(1),3,4,0.01123369913567471
INT__ArmouredDurable__AND__HasFireControl__AND__KW_Tenacious,interaction,0.0031655064258090814,,,,,,,,ArmouredDurable | HasFireControl | KW_Tenacious,3,3,0.0031655064258090814
INT__ArmouredDurable__AND__HasFireControl__AND__KW_Walker,interaction,0.12369459695143259,,,,,,,,ArmouredDurable | HasFireControl | KW_Walker,3,28,0.12369459695143259
INT__ArmouredDurable__AND__HasFireControl__AND__KW_Weight of Fire(1),interaction,0.0814686189946012,,,,,,,,ArmouredDurable | HasFireControl | KW_Weight of Fire(1),3,3,0.0814686189946012
INT__ArmouredDurable__AND__HasFireControl__AND__KW_Weight of Fire(2),interaction,-0.05731548276251427,,,,,,,,ArmouredDurable | HasFireControl | KW_Weight of Fire(2),3,5,0.05731548276251427
INT__ArmouredDurable__AND__HasFireControl__AND__RoleHeavySupport,interaction,0.10698918836008456,,,,,,,,ArmouredDurable | HasFireControl | RoleHeavySupport,3,27,0.10698918836008456
